--- Module Pairs Summary ---
job-portal-android <-> job-portal-ios: 46 edges
job-portal-ios <-> job-portal-web: 15 edges
job-portal-android <-> job-portal-web: 12 edges
job-portal-backend <-> job-portal-ios: 11 edges
job-portal-android <-> job-portal-backend: 5 edges
job-portal-backend <-> job-portal-web: 4 edges
job-portal-shared-lib <-> job-portal-web: 1 edges

--- All Cross-Module Edges ---
[EXTRACTED] job-portal-shared-lib (formatters.ts) --contains--> job-portal-web (formatCurrency())
[INFERRED] job-portal-backend (clearCollection()) --calls--> job-portal-ios (all)
[INFERRED] job-portal-backend (clearCollection()) --calls--> job-portal-ios (.map())
[INFERRED] job-portal-backend (verifySignature()) --calls--> job-portal-web (update())
[INFERRED] job-portal-backend (validate()) --calls--> job-portal-ios (.map())
[INFERRED] job-portal-backend (logError()) --calls--> job-portal-android (Error)
[INFERRED] job-portal-backend (saveError()) --calls--> job-portal-web (update())
[INFERRED] job-portal-backend (refundMessage()) --calls--> job-portal-android (Error)
[INFERRED] job-portal-backend (archiveOldChats()) --calls--> job-portal-ios (.bucket())
[INFERRED] job-portal-backend (archiveOldChats()) --calls--> job-portal-ios (.map())
[INFERRED] job-portal-backend (deleteExpiredUploads()) --calls--> job-portal-ios (.bucket())
[INFERRED] job-portal-backend (deleteExpiredUploads()) --calls--> job-portal-ios (all)
[INFERRED] job-portal-backend (deleteExpiredUploads()) --calls--> job-portal-ios (.map())
[INFERRED] job-portal-backend (validateParticipants()) --calls--> job-portal-ios (all)
[INFERRED] job-portal-backend (fail()) --calls--> job-portal-android (Error)
[INFERRED] job-portal-backend (fail()) --calls--> job-portal-web (update())
[INFERRED] job-portal-backend (getTransactionHistory()) --calls--> job-portal-ios (.map())
[INFERRED] job-portal-backend (sendEmailNotification()) --calls--> job-portal-android (Error)
[INFERRED] job-portal-backend (clearStaleToken()) --calls--> job-portal-web (update())
[INFERRED] job-portal-backend (sendPushNotification()) --calls--> job-portal-android (Error)
[INFERRED] job-portal-backend (sendPushNotificationToMany()) --calls--> job-portal-ios (.map())
[EXTRACTED] job-portal-android (MessageRepository.kt) --contains--> job-portal-ios (MessageRepository)
[EXTRACTED] job-portal-ios (MessageRepository) --method--> job-portal-android (.listenToConversations())
[EXTRACTED] job-portal-ios (MessageRepository) --method--> job-portal-android (.fetchPendingMessageRequests())
[EXTRACTED] job-portal-ios (MessageRepository) --method--> job-portal-android (.acceptMessageRequest())
[EXTRACTED] job-portal-ios (MessageRepository) --method--> job-portal-android (.rejectMessageRequest())
[EXTRACTED] job-portal-ios (MessageRepository) --method--> job-portal-android (.toMessage())
[EXTRACTED] job-portal-ios (MessageRepository) --method--> job-portal-android (.toMap())
